Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2019,2,22,0,0,0,0,0,0,0,0,0,0,0,0,236.5050654,236.5050654,551.0314812,551.0314812,703.085914,703.085914,782.4445488,782.4445488,801.5060264,801.5060264,786.7647317,786.7647317,765.1831869,765.1831869,761.676021,761.676021,774.7366885,774.7366885,730.1822554,730.1822554,570.9721723,570.9721723,359.7751772,359.7751772,26.98726088,26.98726088,0,0,0,0,0,0,0,0,0,0
2019,2,23,0,0,0,0,0,0,0,0,0,0,0,0,211.7038251,211.7038251,533.75785,533.75785,700.0439097,700.0439097,788.388807,788.388807,808.4128956,808.4128956,828.3407297,828.3407297,792.2793836,792.2793836,777.2477236,777.2477236,729.213658,729.213658,676.3042045,676.3042045,612.2988601,612.2988601,356.8833843,356.8833843,17.42281391,17.42281391,0,0,0,0,0,0,0,0,0,0
2019,2,24,0,0,0,0,0,0,0,0,0,0,0,0,226.1569642,226.1569642,533.7256051,533.7256051,750.2076711,750.2076711,802.7566289,802.7566289,775.6482222,775.6482222,833.1409111,833.1409111,823.7229281,823.7229281,815.1646762,815.1646762,767.0263209,767.0263209,736.7485429,736.7485429,620.2056614,620.2056614,372.210156,372.210156,12.91627838,12.91627838,0,0,0,0,0,0,0,0,0,0
2019,2,25,0,0,0,0,0,0,0,0,0,0,0,0,206.1561677,206.1561677,529.717899,529.717899,737.5246159,737.5246159,792.6766577,792.6766577,827.206929,827.206929,810.3746504,810.3746504,781.9895927,781.9895927,752.899015,752.899015,728.6344361,728.6344361,660.4138471,660.4138471,570.3438614,570.3438614,351.9400347,351.9400347,6.053416299,6.053416299,0,0,0,0,0,0,0,0,0,0
2019,2,26,0,0,0,0,0,0,0,0,0,0,0,0,136.6321558,136.6321558,356.1794061,356.1794061,512.7948503,512.7948503,682.8484388,682.8484388,756.1863464,756.1863464,733.9415203,733.9415203,702.424164,702.424164,682.4480082,682.4480082,649.4826107,649.4826107,545.815154,545.815154,421.6305433,421.6305433,212.9104175,212.9104175,4.839419368,4.839419368,0,0,0,0,0,0,0,0,0,0
2019,2,27,0,0,0,0,0,0,0,0,0,0,0,0,146.9690504,146.9690504,357.9389093,357.9389093,626.0523455,626.0523455,622.6433954,622.6433954,709.5891813,709.5891813,716.1674057,716.1674057,682.1224581,682.1224581,601.7091296,601.7091296,584.8102908,584.8102908,587.0260781,587.0260781,449.1392676,449.1392676,243.0586659,243.0586659,3.550315993,3.550315993,0,0,0,0,0,0,0,0,0,0
2019,2,28,0,0,0,0,0,0,0,0,0,0,0,0,100.3927015,100.3927015,316.6764953,316.6764953,502.554756,502.554756,616.6502491,616.6502491,760.3682903,760.3682903,742.301734,742.301734,644.7573496,644.7573496,641.7345063,641.7345063,556.4600645,556.4600645,463.9832144,463.9832144,380.8262319,380.8262319,207.887005,207.887005,3.078591751,3.078591751,0,0,0,0,0,0,0,0,0,0
2019,3,1,0,0,0,0,0,0,0,0,0,0,0,0,164.6807419,164.6807419,476.2946347,476.2946347,718.3793499,718.3793499,746.8251281,746.8251281,810.5618286,810.5618286,762.6940278,762.6940278,729.1316215,729.1316215,734.4046013,734.4046013,668.9018843,668.9018843,607.1525358,607.1525358,510.1856807,510.1856807,280.8283634,280.8283634,2.036498113,2.036498113,0,0,0,0,0,0,0,0,0,0
2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,153.1131534,153.1131534,449.7526012,449.7526012,692.6408688,692.6408688,715.3736788,715.3736788,791.9326924,791.9326924,731.6744573,731.6744573,678.1687138,678.1687138,607.2521992,607.2521992,532.4846554,532.4846554,546.2789392,546.2789392,381.1935761,381.1935761,245.8981879,245.8981879,1.425191566,1.425191566,0,0,0,0,0,0,0,0,0,0
2019,3,3,0,0,0,0,0,0,0,0,0,0,0,0,179.283697,179.283697,497.6737763,497.6737763,717.8388159,717.8388159,770.3171747,770.3171747,808.8659423,808.8659423,767.4829089,767.4829089,664.9990611,664.9990611,655.7632929,655.7632929,644.1815636,644.1815636,569.3606852,569.3606852,520.2663909,520.2663909,300.2650145,300.2650145,0.118098315,0.118098315,0,0,0,0,0,0,0,0,0,0
2019,3,4,0,0,0,0,0,0,0,0,0,0,0,0,162.2743481,162.2743481,459.5534676,459.5534676,683.0944536,683.0944536,738.9234691,738.9234691,788.9029226,788.9029226,765.856712,765.856712,652.8040374,652.8040374,628.4082977,628.4082977,553.3001729,553.3001729,477.2478562,477.2478562,346.9837976,346.9837976,160.4898187,160.4898187,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,5,0,0,0,0,0,0,0,0,0,0,0,0,134.5218833,134.5218833,397.9637388,397.9637388,600.3399281,600.3399281,669.0574626,669.0574626,702.8536907,702.8536907,790.2947523,790.2947523,706.1675629,706.1675629,623.4985299,623.4985299,461.601574,461.601574,598.0763667,598.0763667,510.779257,510.779257,252.9308157,252.9308157,0.294279532,0.294279532,0,0,0,0,0,0,0,0,0,0
2019,3,6,0,0,0,0,0,0,0,0,0,0,0,0,50.03391053,50.03391053,190.7871126,190.7871126,388.0724708,388.0724708,477.8396513,477.8396513,737.1559708,737.1559708,702.8597104,702.8597104,744.4732498,744.4732498,711.3810228,711.3810228,703.2877301,703.2877301,652.899186,652.899186,551.6050328,551.6050328,320.3513766,320.3513766,0.753019373,0.753019373,0,0,0,0,0,0,0,0,0,0
